games_played,date,team,p_champion
0,pre,Spain,0.1355
0,pre,Portugal,0.124
0,pre,France,0.09
0,pre,Brazil,0.06625
0,pre,Argentina,0.0535
0,pre,Colombia,0.0465
0,pre,Ecuador,0.0365
0,pre,England,0.02975
0,pre,Morocco,0.029
0,pre,Mexico,0.02825
0,pre,Belgium,0.028
0,pre,Croatia,0.02675
0,pre,Japan,0.02625
0,pre,Algeria,0.02575
0,pre,Austria,0.02375
0,pre,Netherlands,0.0235
0,pre,Germany,0.023
0,pre,South Korea,0.02225
0,pre,Australia,0.019
0,pre,Switzerland,0.018
0,pre,Uruguay,0.017
0,pre,Ivory Coast,0.016
0,pre,Tunisia,0.01575
0,pre,Paraguay,0.015
0,pre,Egypt,0.0105
0,pre,Senegal,0.00825
0,pre,South Africa,0.00775
0,pre,Canada,0.006
0,pre,Iran,0.005
0,pre,Uzbekistan,0.00375
0,pre,Türkiye,0.00375
0,pre,Scotland,0.0035
0,pre,Norway,0.003
0,pre,Curaçao,0.0015
0,pre,Jordan,0.00125
0,pre,Cape Verde,0.00125
0,pre,Congo DR,0.001
0,pre,Panama,0.001
0,pre,Haiti,0.00075
0,pre,Iraq,0.0005
0,pre,Ghana,0.0005
0,pre,United States,0.00025
0,pre,Bosnia-Herzegovina,0.00025
0,pre,Czechia,0.00025
0,pre,Sweden,0.00025
0,pre,Saudi Arabia,0.00025
0,pre,New Zealand,0.00025
0,pre,Qatar,0.0
2,2026-06-11,Spain,0.145
2,2026-06-11,Portugal,0.11075
2,2026-06-11,France,0.09125
2,2026-06-11,Brazil,0.06275
2,2026-06-11,Argentina,0.06125
2,2026-06-11,Colombia,0.04325
2,2026-06-11,Ecuador,0.042
2,2026-06-11,South Korea,0.037
2,2026-06-11,Mexico,0.0365
2,2026-06-11,Morocco,0.034
2,2026-06-11,Japan,0.0315
2,2026-06-11,Austria,0.02625
2,2026-06-11,England,0.02625
2,2026-06-11,Belgium,0.0255
2,2026-06-11,Algeria,0.02075
2,2026-06-11,Uruguay,0.02075
2,2026-06-11,Australia,0.02025
2,2026-06-11,Netherlands,0.01925
2,2026-06-11,Germany,0.01875
2,2026-06-11,Croatia,0.01775
2,2026-06-11,Tunisia,0.01675
2,2026-06-11,Ivory Coast,0.01475
2,2026-06-11,Switzerland,0.0135
2,2026-06-11,Senegal,0.01075
2,2026-06-11,Paraguay,0.01075
2,2026-06-11,Egypt,0.0105
2,2026-06-11,Canada,0.0075
2,2026-06-11,Uzbekistan,0.00425
2,2026-06-11,Türkiye,0.00375
2,2026-06-11,Scotland,0.0035
2,2026-06-11,Norway,0.003
2,2026-06-11,Iran,0.0025
2,2026-06-11,South Africa,0.00125
2,2026-06-11,United States,0.00125
2,2026-06-11,Cape Verde,0.00125
2,2026-06-11,Curaçao,0.001
2,2026-06-11,Panama,0.00075
2,2026-06-11,Congo DR,0.00075
