team,p_round32,p_round16,p_quarter,p_semi,p_final,p_champion
France,1.0,0.8961666666666667,0.49583333333333335,0.289,0.18366666666666667,0.136
Spain,1.0,0.8425,0.4686666666666667,0.2435,0.13733333333333334,0.0935
Argentina,1.0,0.8335,0.45366666666666666,0.24166666666666667,0.13683333333333333,0.08983333333333333
Belgium,1.0,0.8358333333333333,0.4588333333333333,0.23983333333333334,0.132,0.086
Portugal,1.0,0.8018333333333333,0.4345,0.22733333333333333,0.11933333333333333,0.0745
Brazil,1.0,0.7571666666666667,0.4211666666666667,0.21466666666666667,0.10383333333333333,0.0605
Colombia,1.0,0.7275,0.4055,0.207,0.102,0.05516666666666667
Morocco,1.0,0.6805,0.36883333333333335,0.19466666666666665,0.09533333333333334,0.05
Germany,1.0,0.6793333333333333,0.37466666666666665,0.20183333333333334,0.10066666666666667,0.041666666666666664
Japan,1.0,0.6231666666666666,0.33816666666666667,0.17616666666666667,0.08666666666666667,0.04016666666666667
Switzerland,1.0,0.654,0.36883333333333335,0.18766666666666668,0.09166666666666666,0.03833333333333333
Netherlands,1.0,0.6095,0.3385,0.1775,0.0815,0.0325
England,1.0,0.5696666666666667,0.29933333333333334,0.157,0.07983333333333334,0.027666666666666666
Ivory Coast,1.0,0.5098333333333334,0.25933333333333336,0.12933333333333333,0.06166666666666667,0.022333333333333334
Austria,1.0,0.5243333333333333,0.26366666666666666,0.12966666666666668,0.06233333333333333,0.020833333333333332
Mexico,1.0,0.49583333333333335,0.243,0.11716666666666667,0.05566666666666667,0.020166666666666666
Norway,1.0,0.49033333333333334,0.23816666666666667,0.11583333333333333,0.05466666666666667,0.016833333333333332
Croatia,1.0,0.43483333333333335,0.1965,0.09433333333333334,0.0425,0.014166666666666666
Ecuador,1.0,0.4231666666666667,0.18666666666666668,0.08633333333333333,0.0385,0.013666666666666667
Senegal,1.0,0.4156666666666667,0.19083333333333333,0.087,0.041,0.013666666666666667
Algeria,1.0,0.3893333333333333,0.17283333333333334,0.07666666666666666,0.03333333333333333,0.009666666666666667
Egypt,1.0,0.4093333333333333,0.182,0.087,0.04,0.0095
Australia,1.0,0.36766666666666664,0.15316666666666667,0.06583333333333333,0.0275,0.006833333333333334
Congo DR,1.0,0.32233333333333336,0.1335,0.05466666666666667,0.02,0.005833333333333334
Canada,1.0,0.32166666666666666,0.1245,0.04683333333333333,0.017666666666666667,0.005666666666666667
Paraguay,1.0,0.3095,0.11433333333333333,0.046,0.017166666666666667,0.0055
Cape Verde,1.0,0.245,0.08683333333333333,0.03716666666666667,0.015166666666666667,0.0033333333333333335
United States,1.0,0.25716666666666665,0.08966666666666667,0.03166666666666667,0.011333333333333334,0.003
Sweden,1.0,0.18716666666666668,0.05733333333333333,0.018,0.006,0.0016666666666666668
South Africa,1.0,0.18583333333333332,0.04833333333333333,0.012166666666666666,0.0033333333333333335,0.0011666666666666668
Bosnia-Herzegovina,1.0,0.0895,0.015,0.0023333333333333335,0.0005,0.00016666666666666666
Ghana,1.0,0.11083333333333334,0.017833333333333333,0.004166666666666667,0.001,0.00016666666666666666
Türkiye,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0
Qatar,0.0,0.0,0.0,0.0,0.0,0.0
Czechia,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0
