player_id,team,team_code,position,age,debut_age,career_years,caps,overall,skill_pace,skill_shooting,skill_passing,skill_dribbling,skill_defending,skill_physical,market_value_eur,followers,engagement_rate,longevity,skill_index,log_followers,social_score,pos_DF,pos_FW,pos_GK,pos_MF
0,Mexico,MEX,GK,27,19,8,36,62.2,68.5,46.3,66.0,53.9,71.7,66.9,3705891,37759,0.0391,-0.05281289231742198,59.69000000000001,4.577020484030885,-0.705710573024767,0,0,1,0
1,Mexico,MEX,GK,29,17,12,78,64.8,58.7,43.8,64.0,56.5,78.0,87.8,2924134,43058,0.0207,1.3768689700066252,60.435,4.6340538534220705,-0.7336943949142247,0,0,1,0
2,Mexico,MEX,GK,26,20,6,46,67.8,69.2,50.5,70.1,56.6,89.2,71.3,3960572,80959,0.0622,-0.10341645879415926,64.39500000000001,4.908265135153282,-0.21328072699253844,0,0,1,0
3,Mexico,MEX,DF,29,23,6,32,66.0,59.2,71.1,65.1,58.7,73.0,68.8,4387011,83893,0.0279,-0.4033946234907402,65.595,4.923725724974105,-0.37735492620210814,1,0,0,0
4,Mexico,MEX,DF,23,18,5,33,65.6,61.5,56.3,55.0,64.4,77.9,78.1,5649742,5239,0.0566,-0.5144044537852748,62.78,3.719248398447946,-1.5948662886764646,1,0,0,0
5,Mexico,MEX,DF,30,21,9,62,67.1,66.8,66.1,65.8,56.6,75.0,72.3,6313928,15380,0.0418,0.636726255606233,65.755,4.186956335465412,-1.1297323483828465,1,0,0,0
6,Mexico,MEX,DF,30,19,11,61,71.1,70.1,59.5,59.0,70.7,80.7,86.4,11264366,113921,0.0292,0.8801729279593438,68.03999999999999,5.0566037885520485,-0.2232918925496141,1,0,0,0
7,Mexico,MEX,DF,23,18,5,25,75.2,76.1,57.0,73.4,70.9,86.3,87.7,12312165,620194,0.0354,-0.6858205478976067,71.925,5.79252756038648,0.6304603699801542,1,0,0,0
8,Mexico,MEX,DF,33,20,13,64,75.7,75.5,63.0,82.5,66.9,87.9,78.1,4751337,23268,0.0359,1.2093276473686205,73.555,4.36675905512633,-0.9558725121237939,1,0,0,0
9,Mexico,MEX,DF,27,22,5,20,74.6,68.7,75.4,66.6,66.4,94.6,76.2,17400137,206981,0.0538,-0.7929556067178143,72.83500000000001,5.315930480848823,0.2046687070196126,1,0,0,0
10,Mexico,MEX,DF,30,22,8,39,67.5,73.3,48.9,60.7,65.3,84.7,72.0,4507718,3162,0.0558,0.011468142974702514,64.09,3.49996186559619,-1.8472255904041235,1,0,0,0
11,Mexico,MEX,DF,26,19,7,44,66.0,51.8,65.7,66.7,53.4,80.0,78.5,6549527,405960,0.0418,-0.013833640263666116,64.065,5.608483243835606,0.4640146859469216,1,0,0,0
