team,attack,defence,net_strength,rank
Argentina,0.43123261394583334,0.5020563181903418,0.9332889321361751,1
Portugal,0.4211967487992599,0.4515067452624241,0.872703494061684,2
France,0.4608886686025994,0.3645978669402834,0.8254865355428829,3
Colombia,0.38426013016026306,0.30364526305386935,0.6879053932141324,4
Brazil,0.515015627585317,0.16955319056962087,0.6845688181549379,5
Spain,0.45430416852285177,0.20093932763465358,0.6552434961575053,6
Belgium,0.3309274962074354,0.25909224401897146,0.5900197402264069,7
Germany,0.5085385515749671,-0.03452581879598301,0.4740127327789841,8
Japan,0.17842024078168855,0.24901546424450716,0.4274357050261957,9
Morocco,0.1796530050124187,0.22349156961768032,0.403144574630099,10
Netherlands,0.4001451506518727,-0.007472054505160226,0.3926730961467125,11
Austria,0.24083214182455712,0.1500119182919201,0.3908440601164772,12
Ecuador,-0.27056471753816774,0.6521272191099989,0.3815625015718312,13
Switzerland,0.3245613364559751,0.03366009133372101,0.3582214277896961,14
Ivory Coast,0.05962134172627371,0.29600861475417894,0.35562995648045265,15
England,0.1596638210767152,0.14850494816137338,0.30816876923808856,16
Uruguay,0.10071523713448191,0.18886419473857421,0.2895794318730561,17
Croatia,0.1598849979572254,0.1287783345814099,0.2886633325386353,18
Mexico,0.02173499055468111,0.20587550781265979,0.2276104983673409,19
Algeria,0.06858262364328226,0.15025479630699207,0.21883741995027434,20
Norway,0.18194857353453245,-0.056770879244435114,0.12517769429009734,21
Egypt,0.023178842599786934,0.053629581398822006,0.07680842399860893,22
Canada,-0.15839576744803366,0.2208564399946406,0.06246067254660695,23
Paraguay,-0.07108814014451924,0.1256284435753486,0.05454030343082937,24
Congo DR,-0.13293854066401753,0.18529921619401066,0.05236067552999313,25
Australia,-0.13422667307607,0.18419287936613377,0.049966206290063764,26
Senegal,0.15468422201896942,-0.11805057980286278,0.03663364221610664,27
Cape Verde,-0.06685679133016617,0.07503309984745613,0.008176308517289954,28
United States,0.14436676539804824,-0.22389112613983742,-0.07952436074178917,29
South Africa,-0.21523016426173458,0.055757843685777915,-0.15947232057595667,30
Scotland,-0.1834259901459378,-0.016431990670124668,-0.19985798081606246,31
Türkiye,0.06063499453852865,-0.2633707344650373,-0.20273573992650862,32
Sweden,0.19337657028366148,-0.4084792343352696,-0.21510266405160813,33
Iran,-0.3847770326743758,0.05105952291839322,-0.3337175097559826,34
Czechia,-0.15694999096192144,-0.2865312730500513,-0.44348126401197274,35
South Korea,-0.3359463883132395,-0.11065895306669417,-0.44660534137993363,36
Panama,-0.19198032549391017,-0.2554054077992232,-0.44738573329313336,37
Bosnia-Herzegovina,-0.11959345856337487,-0.35292678203763056,-0.47252024060100545,38
Ghana,-0.3519850273724285,-0.16123453010453498,-0.5132195574769635,39
Tunisia,-0.3296438846983704,-0.23516549090478914,-0.5648093756031596,40
Uzbekistan,-0.34857933973658606,-0.25012624479862056,-0.5987055845352066,41
Haiti,-0.2732567250423704,-0.40226402087127144,-0.6755207459136419,42
Saudi Arabia,-0.6667289946306527,-0.038087971671692845,-0.7048169663023456,43
New Zealand,-0.3913375130721798,-0.32729076750328834,-0.7186282805754681,44
Jordan,-0.31931840903921005,-0.4296347046288668,-0.7489531136680769,45
Curaçao,-0.1344497660851928,-0.7193246877515742,-0.853774453836767,46
Iraq,-0.6280165079553547,-0.23917416629291466,-0.8671906742482693,47
Qatar,-0.2932704659241327,-0.6926232231639003,-0.985893689088033,48
