team,p_round32,p_round16,p_quarter,p_semi,p_final,p_champion
Argentina,0.975,0.8728,0.4996,0.2776,0.1724,0.1164
France,0.9614,0.8238,0.4416,0.2378,0.1298,0.0862
Portugal,0.9404,0.7908,0.4286,0.2306,0.124,0.082
Brazil,0.9528,0.768,0.4194,0.223,0.1124,0.069
Belgium,0.9718,0.7706,0.4298,0.2244,0.112,0.063
Germany,0.9734,0.747,0.4196,0.2222,0.1112,0.0608
Colombia,0.9078,0.6964,0.3782,0.202,0.1,0.0596
Spain,0.9104,0.6932,0.3864,0.2016,0.1022,0.057
England,0.939,0.6402,0.3492,0.1828,0.0938,0.0426
Uruguay,0.8622,0.5854,0.319,0.167,0.0914,0.0426
Austria,0.8794,0.5776,0.3176,0.1674,0.0832,0.0364
Morocco,0.846,0.492,0.256,0.1364,0.0748,0.0334
Netherlands,0.8268,0.4776,0.2474,0.134,0.0684,0.0262
Croatia,0.8868,0.494,0.2536,0.1298,0.063,0.026
Switzerland,0.9418,0.5432,0.2924,0.147,0.0652,0.0252
Ivory Coast,0.8572,0.4588,0.243,0.1234,0.0598,0.0244
Ecuador,0.841,0.4532,0.232,0.1124,0.056,0.0236
Japan,0.8186,0.4546,0.2336,0.1154,0.0594,0.0214
Mexico,0.8392,0.4184,0.2106,0.1044,0.0506,0.0186
Canada,0.8824,0.3958,0.1892,0.0874,0.037,0.0138
Algeria,0.7084,0.3198,0.1498,0.0722,0.0364,0.0124
Australia,0.7774,0.3156,0.1456,0.064,0.0286,0.01
Norway,0.7254,0.3032,0.1418,0.0616,0.0286,0.0086
Scotland,0.6952,0.2584,0.111,0.0458,0.0218,0.007
Senegal,0.6452,0.2398,0.1036,0.0468,0.0186,0.0058
Czechia,0.6902,0.2226,0.0914,0.0374,0.015,0.0042
United States,0.7436,0.2594,0.1066,0.0438,0.0166,0.004
Egypt,0.6856,0.1992,0.0734,0.0268,0.008,0.003
Sweden,0.5916,0.1748,0.0676,0.0276,0.0112,0.0028
Congo DR,0.4944,0.1598,0.0608,0.0212,0.0084,0.0026
Paraguay,0.6648,0.2002,0.0652,0.0256,0.0076,0.0024
South Korea,0.6456,0.184,0.0632,0.0222,0.0068,0.002
Iran,0.5776,0.115,0.0366,0.0112,0.0038,0.0018
Saudi Arabia,0.475,0.118,0.0386,0.0122,0.0056,0.0016
South Africa,0.5364,0.1258,0.0402,0.0134,0.0062,0.001
Cape Verde,0.3822,0.0868,0.0242,0.0078,0.0022,0.0008
Türkiye,0.5428,0.1086,0.0296,0.0072,0.002,0.0006
Tunisia,0.4728,0.1144,0.0372,0.0128,0.003,0.0006
Ghana,0.4664,0.0718,0.0146,0.0038,0.001,0.0004
Iraq,0.3062,0.0448,0.009,0.0018,0.0008,0.0002
Uzbekistan,0.2704,0.0472,0.011,0.0018,0.0006,0.0
Curaçao,0.0768,0.0038,0.0002,0.0,0.0,0.0
Bosnia-Herzegovina,0.5078,0.0546,0.0118,0.0028,0.0002,0.0
Jordan,0.1102,0.0086,0.0014,0.0002,0.0,0.0
Qatar,0.3316,0.0226,0.0034,0.0008,0.0,0.0
Haiti,0.184,0.0204,0.0036,0.0012,0.0002,0.0
New Zealand,0.3466,0.0364,0.0074,0.0004,0.0,0.0
Panama,0.3324,0.031,0.0044,0.001,0.0002,0.0
