team,fifa_code,group,name,position,age,caps,overall,pace,shooting,passing,dribbling,defending,physical,rating_source
Czechia,CZE,A,Matěj Kovář,GK,,20,65.0,72.0,69.0,70.0,73.0,70.0,81.0,fifa-match
Czechia,CZE,A,David Zima,DF,,25,74.0,74.0,38.0,54.0,63.0,76.0,76.0,fifa-match
Czechia,CZE,A,Tomáš Holeš,DF,,41,77.0,78.0,69.0,70.0,73.0,77.0,82.0,fifa-match
Czechia,CZE,A,Robin Hranáč,DF,,14,75.0,72.0,69.0,70.0,73.0,70.0,81.0,team-median
Czechia,CZE,A,Vladimír Coufal,DF,,62,80.0,77.0,56.0,73.0,75.0,78.0,81.0,fifa-match
Czechia,CZE,A,Štěpán Chaloupek,DF,,5,75.0,72.0,69.0,70.0,73.0,70.0,81.0,team-median
Czechia,CZE,A,Ladislav Krejčí,DF,,27,74.0,67.0,58.0,64.0,67.0,73.0,84.0,fifa-match
Czechia,CZE,A,Vladimír Darida,MF,,79,76.0,66.0,70.0,74.0,78.0,70.0,63.0,fifa-match
Czechia,CZE,A,Adam Hložek,FW,,43,76.0,78.0,75.0,71.0,76.0,31.0,78.0,fifa-match
Czechia,CZE,A,Patrik Schick,FW,,53,79.0,70.0,79.0,70.0,80.0,35.0,68.0,fifa-match
Czechia,CZE,A,Jan Kuchta,FW,,31,75.0,79.0,73.0,64.0,72.0,34.0,81.0,fifa-match
Czechia,CZE,A,Lukáš Červ,MF,,17,75.0,72.0,69.0,70.0,73.0,70.0,81.0,team-median
Czechia,CZE,A,Mojmír Chytil,FW,,22,75.0,72.0,69.0,70.0,73.0,70.0,81.0,team-median
Czechia,CZE,A,David Jurásek,DF,,18,75.0,72.0,69.0,70.0,73.0,70.0,81.0,team-median
Czechia,CZE,A,Pavel Šulc,FW,,21,69.0,70.0,57.0,68.0,72.0,35.0,54.0,fifa-match
Czechia,CZE,A,Jindřich Staněk,GK,,14,73.0,72.0,69.0,70.0,73.0,70.0,81.0,fifa-match
Czechia,CZE,A,Lukáš Provod,MF,,38,77.0,78.0,74.0,77.0,77.0,71.0,84.0,fifa-match
Czechia,CZE,A,Michal Sadílek,MF,,35,72.0,72.0,60.0,68.0,70.0,69.0,74.0,fifa-match
Czechia,CZE,A,Tomáš Chorý,FW,,22,68.0,47.0,68.0,53.0,60.0,26.0,81.0,fifa-match
Czechia,CZE,A,Jaroslav Zelený,DF,,23,75.0,72.0,69.0,70.0,73.0,70.0,81.0,team-median
Czechia,CZE,A,David Douděra,DF,,17,75.0,72.0,69.0,70.0,73.0,70.0,81.0,team-median
Czechia,CZE,A,Tomáš Souček,MF,,90,82.0,64.0,72.0,74.0,74.0,82.0,85.0,fifa-match
Czechia,CZE,A,Lukáš Horníček,GK,,1,75.0,72.0,69.0,70.0,73.0,70.0,81.0,team-median
Czechia,CZE,A,Alexandr Sojka,MF,,2,75.0,72.0,69.0,70.0,73.0,70.0,81.0,team-median
Czechia,CZE,A,Hugo Sochůrek,MF,,1,75.0,72.0,69.0,70.0,73.0,70.0,81.0,team-median
Czechia,CZE,A,Denis Višinský,FW,,2,75.0,72.0,69.0,70.0,73.0,70.0,81.0,team-median
Mexico,MEX,A,Raúl Rangel,GK,,14,74.0,60.0,77.0,58.0,68.0,36.0,74.0,fifa-match
Mexico,MEX,A,Jorge Sánchez,DF,,59,80.0,78.0,76.0,78.0,83.0,43.0,68.0,fifa-match
Mexico,MEX,A,César Montes,DF,,67,77.0,62.0,73.0,77.0,80.0,59.0,69.0,fifa-match
Mexico,MEX,A,Edson Álvarez,DF,,98,77.0,69.0,53.0,66.0,65.0,79.0,84.0,fifa-match
Mexico,MEX,A,Johan Vásquez,DF,,46,71.0,66.0,32.0,57.0,56.0,73.0,72.0,fifa-match
