team,fifa_code,group,flag,played,wins,draws,losses,goals_for,goals_against,goal_diff,points,attack,defence,net_strength,model_rank,elo,elo_rank,squad_overall,avg_age,total_caps,attack_strength,defence_strength,young_pace,senior_solidity,form_momentum,tier,style,star_player
France,FRA,I,https://flagcdn.com/w80/fr.png,5,5,0,0,14,2,12,15,0.488826123439635,0.4662430209971031,0.955069144436738,1,1763.3,2,81.6,,803.0,71.5,71.8,80.0,,0.18,Strong side,well-balanced,Kylian Mbappé
Spain,ESP,H,https://flagcdn.com/w80/es.png,5,4,1,0,9,0,9,13,0.4752962360424894,0.3680751606939382,0.8433713967364277,2,1777.2,1,82.5,,743.0,71.9,72.9,71.3,,0.15,Elite contender,well-balanced,Rodri
Portugal,POR,K,https://flagcdn.com/w80/pt.png,5,2,2,1,8,3,5,8,0.2939159530848366,0.5205639375657722,0.8144798906506089,3,1689.7,4,83.6,,1160.0,73.9,70.0,76.1,,0.107,Elite contender,attack-leaning,Cristiano Ronaldo
Belgium,BEL,G,https://flagcdn.com/w80/be.png,5,3,2,0,13,5,8,11,0.5317295061400109,0.2205641929154869,0.7522936990554978,4,1641.5,9,79.9,,1085.0,70.3,63.4,71.6,,0.18,Strong side,attack-leaning,Kevin De Bruyne
Argentina,ARG,J,https://flagcdn.com/w80/ar.png,5,5,0,0,14,5,9,15,0.4773968385623061,0.2738928976193938,0.7512897361816999,5,1752.4,3,82.2,,1251.0,71.6,70.4,73.6,,0.172,Elite contender,well-balanced,Lionel Messi
Colombia,COL,K,https://flagcdn.com/w80/co.png,5,3,2,0,5,1,4,11,0.2443521137969359,0.436026285836739,0.680378399633675,6,1659.4,5,79.8,,1042.0,70.4,67.4,75.2,,0.082,Strong side,attack-leaning,Luis Suárez
Brazil,BRA,C,https://flagcdn.com/w80/br.png,5,3,1,1,10,4,6,10,0.4846349577088234,0.1555659133032124,0.6402008710120359,7,1650.6,7,83.0,,916.0,71.9,72.2,74.7,,0.141,Elite contender,well-balanced,Casemiro
Morocco,MAR,C,https://flagcdn.com/w80/ma.png,5,3,2,0,10,4,6,11,0.2401811498405325,0.3035422124748479,0.5437233623153805,8,1647.4,8,78.2,,698.0,70.1,64.8,72.6,,0.117,Solid outfit,attack-leaning,Achraf Hakimi
Germany,GER,E,https://flagcdn.com/w80/de.png,4,2,1,1,11,5,6,7,0.5194780287866597,-0.0404622751788685,0.4790157536077912,9,1572.6,14,80.0,,844.0,66.1,74.9,68.9,,0.128,Strong side,defensively grounded,Joshua Kimmich
Japan,JPN,F,https://flagcdn.com/w80/jp.png,4,1,2,1,8,5,3,5,0.2463858378689546,0.2315441035659522,0.4779299414349068,10,1563.1,15,72.9,,796.0,63.7,62.4,72.0,,0.08,Developing team,well-balanced,Daichi Kamada
Switzerland,SUI,B,https://flagcdn.com/w80/ch.png,5,3,2,0,9,3,6,11,0.3204488565225058,0.1535684278798938,0.4740172844023996,11,1627.2,10,77.1,,1132.0,67.9,67.1,72.9,,0.124,Solid outfit,well-balanced,Remo Freuler
Netherlands,NED,F,https://flagcdn.com/w80/nl.png,4,2,2,0,11,5,6,8,0.3732356083957469,0.0429219785321604,0.4161575869279073,12,1608.4,12,80.4,,861.0,72.4,74.2,78.5,,0.103,Strong side,well-balanced,Virgil van Dijk
England,ENG,L,https://flagcdn.com/w80/gb-eng.png,5,4,1,0,11,5,6,13,0.2166150493162037,0.1547114918743376,0.3713265411905414,13,1659.2,6,81.1,,837.0,70.4,71.1,78.7,,0.095,Strong side,well-balanced,Harry Kane
Austria,AUT,J,https://flagcdn.com/w80/at.png,4,1,1,2,6,9,-3,4,0.2807758203690447,0.051698274884818,0.3324740952538628,14,1522.6,19,77.2,,1003.0,64.9,72.4,68.8,,0.028,Solid outfit,defensively grounded,Marcel Sabitzer
Ivory Coast,CIV,E,https://flagcdn.com/w80/ci.png,4,2,0,2,5,4,1,6,0.0176665674191934,0.2556593333235705,0.2733259007427639,15,1528.5,17,76.5,,703.0,66.9,69.9,74.7,,0.071,Solid outfit,defensively grounded,Franck Kessié
Norway,NOR,I,https://flagcdn.com/w80/no.png,5,4,0,1,12,9,3,12,0.3087874158828991,-0.0443245075390556,0.2644629083438435,16,1579.3,13,75.0,,801.0,67.1,63.6,74.6,,0.062,Developing team,attack-leaning,Erling Haaland
Croatia,CRO,L,https://flagcdn.com/w80/hr.png,4,2,0,2,6,7,-1,6,0.1670252921597308,0.0893922088912346,0.2564175010509655,17,1527.3,18,78.2,,1160.0,66.9,72.0,73.2,,-0.027,Solid outfit,defensively grounded,Luka Modrić
Mexico,MEX,A,https://flagcdn.com/w80/mx.png,5,4,0,1,10,3,7,12,0.0484231883313139,0.1449368783852531,0.1933600667165671,18,1614.0,11,78.2,,1215.0,69.9,60.9,76.0,,0.099,Solid outfit,attack-leaning,Guillermo Martínez
Senegal,SEN,I,https://flagcdn.com/w80/sn.png,4,1,0,3,10,9,1,3,0.269025088684993,-0.0832985228908462,0.1857265657941468,19,1472.4,26,79.5,,1008.0,73.3,62.0,81.7,,0.006,Strong side,attack-leaning,Sadio Mané
